ID,RegistrationDate,District,same_as_wikidata_distrito,Hood,same_as_wikidata_hood,HoodCanonized,Street,same_as_wikidata_street,StreetCanonized,Direction,DirectionCanonized,Number,Company,same_as_wikidata_company,Places,Longitude,Latitude
41,2019-01-18T00:00:00Z,Centro,https://www.wikidata.org/wiki/Q1763376,Embajadores,https://www.wikidata.org/wiki/Q2449844,01-02Embajadores,calle de Atocha,https://www.wikidata.org/wiki/Q5492657,CalleDeAtocha, Calle De Atocha 56,CalleDeAtocha56,56,BiciMAD,https://www.wikidata.org/wiki/Q17402113,18,-3.6989898,40.412228
42,2014-06-26T00:00:00Z,Centro,https://www.wikidata.org/wiki/Q1763376,Embajadores,https://www.wikidata.org/wiki/Q2449844,01-02Embajadores,calle de Santa Isabel,https://www.wikidata.org/wiki/Q2882669,CalleDeSantaIsabel, Calle De Santa Isabel 32,CalleDeSantaIsabel32,32,BiciMAD,https://www.wikidata.org/wiki/Q17402113,24,-3.6982294,40.4107714
43,2014-06-26T00:00:00Z,Centro,https://www.wikidata.org/wiki/Q1763376,Embajadores,https://www.wikidata.org/wiki/Q2449844,01-02Embajadores,calle de Lavapiés,https://www.wikidata.org/wiki/Q19969082,CalleDeLavapies, Calle De Lavapies 36,CalleDeLavapies36,36,BiciMAD,https://www.wikidata.org/wiki/Q17402113,24,-3.7025446,40.4100889
44,2014-06-26T00:00:00Z,Centro,https://www.wikidata.org/wiki/Q1763376,Embajadores,https://www.wikidata.org/wiki/Q2449844,01-02Embajadores,calle del Mesón de Paredes,https://www.wikidata.org/wiki/Q5686332,CalleDelMesonDeParedes, Calle Del Meson De Paredes 35,CalleDelMesonDeParedes35,35,BiciMAD,https://www.wikidata.org/wiki/Q17402113,21,-3.7039138,40.4098162
45,2014-06-26T00:00:00Z,Centro,https://www.wikidata.org/wiki/Q1763376,Embajadores,https://www.wikidata.org/wiki/Q2449844,01-02Embajadores, Glorieta De La Puerta De Toledo,,GlorietaDeLaPuertaDeToledo, Glorieta De La Puerta De Toledo 1,GlorietaDeLaPuertaDeToledo1,1,BiciMAD,https://www.wikidata.org/wiki/Q17402113,21,-3.7111381,40.4069486
46,2014-06-26T00:00:00Z,Arganzuela,https://www.wikidata.org/wiki/Q2000929,Acacias,https://www.wikidata.org/wiki/Q3319190,02-02Acacias,calle de la Ribera de Curtidores,https://www.wikidata.org/wiki/Q5740938,CalleDeLaRiberaDeCurtidores, Calle De La Ribera De Curtidores 28,CalleDeLaRiberaDeCurtidores28,28,BiciMAD,https://www.wikidata.org/wiki/Q17402113,24,-3.7071178,40.4054496
47,2014-06-26T00:00:00Z,Arganzuela,https://www.wikidata.org/wiki/Q2000929,Acacias,https://www.wikidata.org/wiki/Q3319190,02-02Acacias,glorieta de Embajadores,https://www.wikidata.org/wiki/Q16571874,GlorietaDeEmbajadores, Glorieta De Embajadores 7,GlorietaDeEmbajadores7,7,BiciMAD,https://www.wikidata.org/wiki/Q17402113,24,-3.702755,40.4046233
48,2014-06-26T00:00:00Z,Centro,https://www.wikidata.org/wiki/Q1763376,Embajadores,https://www.wikidata.org/wiki/Q2449844,01-02Embajadores,glorieta de Embajadores,https://www.wikidata.org/wiki/Q16571874,GlorietaDeEmbajadores, Glorieta De Embajadores 2,GlorietaDeEmbajadores2,2,BiciMAD,https://www.wikidata.org/wiki/Q17402113,24,-3.7020997,40.4054473
49,2014-06-26T00:00:00Z,Centro,https://www.wikidata.org/wiki/Q1763376,Embajadores,https://www.wikidata.org/wiki/Q2449844,01-02Embajadores,Ronda de Atocha,https://www.wikidata.org/wiki/Q26831149,RondaDeAtocha, Ronda De Atocha 36,RondaDeAtocha36,36,BiciMAD,https://www.wikidata.org/wiki/Q17402113,24,-3.6992427,40.4060497
50,2014-06-26T00:00:00Z,Centro,https://www.wikidata.org/wiki/Q1763376,Embajadores,https://www.wikidata.org/wiki/Q2449844,01-02Embajadores,calle de Santa Isabel,https://www.wikidata.org/wiki/Q2882669,CalleDeSantaIsabel, Calle De Santa Isabel 57,CalleDeSantaIsabel57,57,BiciMAD,https://www.wikidata.org/wiki/Q17402113,24,-3.69322,40.4083102
